地名,センター,燃えるごみ,プラスチック,びん・缶・ペットボトル・われもの・有害ごみ
松美台,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,水2 水4
俵口町,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,水2 水4
喜里が丘,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,水2 水4
光陽台,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,水2 水4
西松ヶ丘,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,水2 水4
東松ヶ丘,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,水2 水4
北新町,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,水2 水4
元町,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,土1 土3
門前町,生駒管理センター,20220404 20220407 20220411 20220414 20220418 20220421 20220425 20220428 20220502 20220505 20220509 20220512 20220516 20220519 20220523 20220526 20220530 20220602 20220606 20220609 20220613 20220616 20220620 20220623 20220627 20220630 20220704 20220707 20220711 20220714 20220718 20220721 20220725 20220728 20220801 20220804 20220808 20220811 20220815 20220818 20220822 20220825 20220829 20220901 20220905 20220908 20220912 20220915 20220919 20220922 20220926 20220929 20221003 20221006 20221010 20221013 20221017 20221020 20221024 20221027 20221031 20221103 20221107 20221110 20221114 20221117 20221121 20221124 20221128 20221201 20221205 20221208 20221212 20221215 20221219 20221222 20221226 20221229 20230105 20230109 20230112 20230116 20230119 20230123 20230126 20230130 20230202 20230206 20230209 20230213 20230216 20230220 20230223 20230227 20230302 20230306 20230309 20230313 20230316 20230320 20230323 20230327 20230330,20220401 20220408 20220415 20220422 20220429 20220506 20220513 20220520 20220527 20220603 20220610 20220617 20220624 20220701 20220708 20220715 20220722 20220729 20220805 20220812 20220819 20220826 20220902 20220909 20220916 20220923 20220930 20221007 20221014 20221021 20221028 20221104 20221111 20221118 20221125 20221202 20221209 20221216 20221223 20230106 20230113 20230120 20230127 20230203 20230210 20230217 20230224 20230303 20230310 20230317 20230324 20230331,土1 土3
小瀬町,生駒管理センター,20220402 20220406 20220409 20220413 20220416 20220420 20220423 20220427 20220430 20220504 20220507 20220511 20220514 20220518 20220521 20220525 20220528 20220601 20220604 20220608 20220611 20220615 20220618 20220622 20220625 20220629 20220702 20220706 20220709 20220713 20220716 20220720 20220723 20220727 20220730 20220803 20220806 20220810 20220813 20220817 20220820 20220824 20220827 20220831 20220903 20220907 20220910 20220914 20220917 20220921 20220924 20220928 20221001 20221005 20221008 20221012 20221015 20221019 20221022 20221026 20221029 20221102 20221105 20221109 20221112 20221116 20221119 20221123 20221126 20221130 20221203 20221207 20221210 20221214 20221217 20221221 20221224 20221228 20230104 20230107 20230111 20230114 20230118 20230121 20230125 20230128 20230201 20230204 20230208 20230211 20230215 20230218 20230222 20230225 20230301 20230304 20230308 20230311 20230315 20230318 20230322 20230325 20230329,20220407 20220414 20220421 20220428 20220505 20220512 20220519 20220526 20220602 20220609 20220616 20220623 20220630 20220707 20220714 20220721 20220728 20220804 20220811 20220818 20220825 20220901 20220908 20220915 20220922 20220929 20221006 20221013 20221020 20221027 20221103 20221110 20221117 20221124 20221201 20221208 20221215 20221222 20230105 20230112 20230119 20230126 20230202 20230209 20230216 20230223 20230302 20230309 20230316 20230323 20230330,火1 火3
